" Cushing, OK WTI Crude oil Spot Price FOB (Dollars per Barrel) ", Europe Brent Spot Price FOB (Dollars per Barrel) , U.S. Field Production of Crude Oil (Thousand Barrels) , Alaska Field Production of Crude Oil (Thousand Barrels) , U.S. Imports of Crude Oil (Thousand Barrels) , U.S. Percent of Crude Oil Stocks Held in SPR (Percent) , U.S. Percent of Total Petroleum Stocks Held in SPR (Percent) 
0.7375091994439448,0.7701919150673745,0.8790312516275355,0.04668817245842108,0.34168448452170685,0.21319796954314718,0.29333333333333367
0.1406492763104097,0.14267047774601876,0.21549796932716092,0.36904324982132164,0.8058055219856838,0.6802030456852792,0.6466666666666667
0.27860004906370106,0.28142098815843203,0.5529640551745553,0.08893353165021536,0.6155573115180814,0.3096446700507616,0.4066666666666665
0.4407555809959931,0.4305430788076766,0.11816717650492359,0.28878286233073847,0.9040671190852468,0.781725888324873,0.8066666666666669
0.09215798511734402,0.08966925275622704,0.4226000670176083,0.9070486198304005,0.39189365064609094,0.5076142131979693,0.5200000000000002
0.027148581241311642,0.03340138832176398,0.27647023563273176,0.49346133786629065,0.7917402621548758,0.4619289340101522,0.42000000000000015
0.17466677569711345,0.17076357697019195,0.20437422553881857,0.380073016670208,0.7407409128939296,0.8172588832487304,0.8
0.05151688609044078,0.053164556962025336,0.3180761819223441,0.6539434796886168,0.54705772985033,0.5025380710659895,0.4600000000000002
0.020852072941368885,0.02245814618211514,0.44920664712477754,0.965268790202631,0.20374174955842705,0.5025380710659895,0.42666666666666697
0.2292910295199935,0.25022458146182114,0.7908706687905288,0.046804071934941766,0.2494468718044065,0.19289340101522834,0.21999999999999997
0.7523100825905634,0.7880767660269498,0.581170410448458,0.043752052386563406,0.5962350097610859,0.7411167512690349,0.7266666666666668
0.42693597187014476,0.42213148223764807,0.09633633798886254,0.17039154706484574,0.9902296179232127,0.7563451776649748,0.7133333333333336
0.06762613459808653,0.06908942425479787,0.3917483832738986,0.9005389325658212,0.35731616621734685,0.4974619289340101,0.46666666666666656
0.08259056341483362,0.07758268681094325,0.39457452171341034,0.8272904634047403,0.45425304452914383,0.49238578680203027,0.44666666666666655
0.05887644124621802,0.0644344630461413,0.3999870288499995,0.8620603063609497,0.35502463512131643,0.5076142131979693,0.4999999999999998
0.01152996974405103,0.006288280930992235,0.22711697520643293,0.4676157546021751,0.7434414799665333,0.5279187817258881,0.41333333333333333
0.6801864420639464,0.6708044099632503,0.09670974988281744,0.21941702563310092,0.8917681509714604,0.9441624365482228,0.9200000000000002
0.48450404775533573,0.48599428338097184,0.1306941628842334,0.2706059610964091,0.9814074556103002,0.7309644670050761,0.8133333333333332
0.08659743233297898,0.08640261331155576,0.22004966378189605,0.5392609476713863,0.46434414799665336,0.6598984771573604,0.6799999999999999
0.32537411072041866,0.4013066557778685,0.9492798555092504,0.08796770267920959,0.5858836106721205,0.3350253807106598,0.4066666666666665
0.07081527516559,0.0685994283380972,0.31453859555856034,0.7104831076512971,0.4629125220786465,0.5076142131979693,0.5466666666666666
0.03949627933600461,0.04050632911392406,0.282794653920874,0.6625779906894087,0.4666775123175607,0.5583756345177662,0.6266666666666671
