 New York Harbor Conventional Gasoline Regular Spot Price FOB (Dollars per Gallon) 
3.193
0.888
1.462
1.735
0.639
0.482
0.879
0.519
0.521
1.227
2.802
1.583
0.509
0.697
0.53
0.372
2.424
2.042
0.624
1.425
0.594
0.49
0.679
2.004
1.761
1.591
0.961
2.129
2.673
0.703
2.334
0.623
2.768
1.689
2.33
0.652
3.053
2.852
1.288
0.489
2.835
1.867
0.605
0.518
0.649
2.672
0.527
1.283
2.706
1.566
0.683
1.119
0.461
0.593
1.611
0.534
1.713
1.963
0.624
0.474
1.146
0.61
0.639
0.517
0.58
2.135
0.557
2.227
1.969
0.618
1.54
0.876
0.927
0.555
0.34
0.557
2.933
2.235
2.838
0.872
2.186
1.224
1.509
2.116
0.317
0.523
1.899
0.744
1.93
0.511
0.556
0.486
0.511
0.598
1.121
2.742
0.444
2.284
2.739
0.436
2.877
1.371
3.024
0.434
1.397
0.998
0.533
2.133
0.501
1.438
1.916
0.517
1.58
1.216
0.533
2.736
1.22
1.986
1.46
2.558
1.64
1.091
0.555
1.765
0.891
1.634
1.47
0.613
0.52
3.044
0.449
1.007
0.879
1.48
0.655
0.826
1.201
0.634
2.074
1.547
0.533
3.27
1.812
1.377
0.776
1.817
0.698
0.72
2.028
1.354
0.561
1.058
0.621
0.778
2.705
0.553
2.105
2.39
0.41
2.602
0.944
0.596
1.793
0.785
3.167
0.705
0.882
2.896
2.042
1.924
0.403
0.553
2.772
1.153
0.955
0.551
0.411
0.423
0.766
0.649
0.621
0.507
0.449
1.607
0.506
2.896
0.501
3.148
1.6
0.504
3.484
2.244
1.715
0.761
0.769
0.859
0.527
0.76
2.747
0.376
0.875
0.645
0.643
1.938
0.472
0.691
1.492
2.74
0.518
0.511
2.835
2.237
0.583
1.445
2.165
0.593
2.822
2.914
4.082
1.19
0.6
3.292
0.587
0.584
1.432
2.762
0.637
0.466
0.483
0.439
2.381
0.548
0.504
0.505
2.005
0.766
2.257
1.522
1.267
0.563
1.563
1.995
3.178
0.799
1.364
0.423
0.556
1.89
0.483
0.703
1.938
0.957
1.121
1.644
1.379
1.588
3.022
2.975
1.248
1.225
1.983
0.587
0.594
0.464
1.86
1.75
2.102
1.694
0.963
0.429
1.047
3.206
0.648
0.343
1.988
0.503
0.51
1.834
0.556
0.582
2.5
0.509
0.729
2.721
0.723
0.523
0.492
2.03
1.658
2.862
2.093
0.532
1.943
1.261
0.426
1.625
0.687
2.389
0.468
0.47
2.04
1.724
0.717
0.696
3.021
0.511
0.541
2.504
1.919
2.753
0.541
0.829
0.609
0.737
1.62
0.816
0.487
2.164
0.435
0.518
0.478
1.906
1.562
2.924
0.447
0.808
0.885
0.571
2.448
0.6
1.728
0.621
1.439
0.956
0.489
1.241
0.635
0.997
1.068
0.422
2.167
3.828
0.598
2.727
1.359
3.184
2.077
1.499
