" Cushing, OK WTI Crude oil Spot Price FOB (Dollars per Barrel) ", Europe Brent Spot Price FOB (Dollars per Barrel) , U.S. Field Production of Crude Oil (Thousand Barrels) , Alaska Field Production of Crude Oil (Thousand Barrels) , U.S. Imports of Crude Oil (Thousand Barrels) , U.S. Percent of Crude Oil Stocks Held in SPR (Percent) , U.S. Percent of Total Petroleum Stocks Held in SPR (Percent) 
16.61,15.2,207349.0,50103.0,209905.0,63.5,34.8
71.65,74.49,327526.0,12891.0,195755.0,59.5,33.1
91.64,97.13,316851.0,12607.0,172325.0,58.6,33.2
14.78,13.8,189569.0,44718.0,176774.0,63.6,37.0
94.66,110.34,197456.0,16926.0,278720.0,65.7,39.4
49.83,48.65,173491.0,27682.0,323400.0,67.4,40.1
100.9,114.99,174363.0,18043.0,280840.0,67.7,40.8
16.11,38.11,258926.0,56019.0,136784.0,60.7,32.1
46.22,48.43,291419.0,15407.0,220171.0,60.4,35.3
34.31,31.28,173132.0,30252.0,289762.0,70.2,41.2
19.41,18.14,220200.0,52841.0,184060.0,64.4,36.1
65.59,62.91,126417.0,24455.0,274650.0,69.4,40.7
17.31,15.29,176616.0,31669.0,277686.0,63.1,35.2
45.18,46.57,256317.0,13598.0,241213.0,59.6,33.9
60.83,71.32,376763.0,14708.0,221769.0,57.3,33.0
19.39,18.71,182511.0,32416.0,274020.0,63.8,34.7
50.54,55.66,372419.0,13823.0,189059.0,58.4,33.1
39.09,43.32,146698.0,19820.0,254061.0,67.5,40.1
19.09,18.0,190727.0,42988.0,191754.0,66.3,39.4
97.63,110.76,245937.0,16922.0,240919.0,68.0,40.4
40.71,43.24,341184.0,13764.0,183087.0,55.8,31.1
62.33,65.41,351102.0,14053.0,180396.0,55.9,32.7
45.48,47.62,284406.0,14172.0,216838.0,61.8,35.4
88.58,103.72,151354.0,17114.0,229140.0,69.0,41.4
59.28,57.56,143301.0,21088.0,252238.0,69.6,41.8
36.74,33.63,174115.0,30348.0,312739.0,68.7,41.5
18.38,16.89,202869.0,46487.0,232117.0,64.3,35.7
62.69,62.06,155842.0,23322.0,302241.0,66.7,40.6
29.21,32.01,380827.75,14556.0,195181.0,56.8,32.4
51.97,53.31,273288.0,16148.0,242335.0,58.9,34.3
58.32,55.24,145708.0,26156.0,307852.0,68.0,39.6
20.97,19.13,200013.0,41262.0,240380.0,64.3,37.3
18.07,17.19,198850.0,45537.0,211012.0,63.1,35.1
102.2,119.33,181783.0,16885.0,248296.0,68.3,40.1
16.06,14.07,181321.0,34661.0,225255.0,63.9,35.9
31.57,29.89,172787.0,29294.0,310705.0,68.9,39.3
32.33,33.07,221598.0,52373.0,152549.0,63.4,35.4
52.98,51.88,166885.0,26803.0,306734.0,67.2,40.7
24.88,24.16,200907.0,42757.0,238717.0,65.1,37.3
28.84,27.54,166105.0,30477.0,295480.0,66.9,37.5
37.55,38.21,282132.0,15842.0,248383.0,57.9,34.4
20.98,19.89,222227.0,52152.0,187873.0,62.3,35.5
70.98,74.25,337814.0,12237.0,246014.0,61.7,35.2
53.47,54.87,255081.0,14434.0,220558.0,56.9,33.9
18.02,16.1,199846.0,44391.0,230537.0,65.8,36.7
94.51,112.86,197942.0,15062.0,251431.0,66.9,38.9
58.15,66.14,369292.0,14913.0,210276.0,58.6,34.3
53.28,49.78,160270.0,28977.0,321222.0,70.0,40.9
27.37,25.68,177488.0,28768.0,290870.0,63.8,35.1
62.23,65.32,287870.0,14367.0,209942.0,61.1,35.5
24.53,23.7,182460.0,32109.0,272781.0,62.7,35.7
20.83,19.18,225256.0,53933.0,165877.0,62.7,36.0
70.75,81.03,356767.0,15083.0,227975.0,60.2,34.2
44.65,44.95,268526.0,13584.0,250986.0,58.5,33.7
18.23,16.7,192484.0,41323.0,240210.0,65.9,36.5
30.32,32.18,262902.0,14713.0,229492.0,58.5,34.5
20.82,19.02,200702.0,40404.0,268234.0,63.3,36.1
29.66,28.4,162336.0,26574.0,263909.0,68.5,37.3
96.54,101.61,276909.0,12337.0,231649.0,67.6,38.6
20.72,20.28,164666.0,28864.0,245094.0,63.1,35.5
63.98,67.49,155407.0,22344.0,304815.0,68.0,41.1
79.15,81.05,353702.0,13379.0,190010.0,58.1,32.8
14.9,38.11,260984.0,59748.0,136983.0,59.6,31.5
82.3,95.16,188262.0,14790.0,275790.0,65.8,39.1
34.42,32.55,174980.0,29566.0,267387.0,65.7,36.4
18.45,17.31,197359.0,44510.0,237810.0,64.3,36.8
54.45,59.52,289755.0,15296.0,216229.0,60.4,36.3
27.25,24.5,182290.0,31271.0,297683.0,63.7,36.5
106.16,125.45,196138.0,17592.0,271888.0,66.7,39.7
27.26,25.51,179316.0,31751.0,242698.0,66.7,38.5
31.11,28.75,166397.0,28894.0,280530.0,69.3,39.6
105.79,111.8,262291.0,14535.0,212025.0,66.1,38.8
63.86,71.23,364458.0,14264.0,209958.0,58.0,33.9
75.72,72.77,171258.0,20419.0,265536.0,69.8,40.1
13.47,11.91,192282.0,35108.0,284481.0,63.1,33.8
19.01,18.05,214269.0,52428.0,147293.0,62.1,35.8
86.32,109.55,182977.0,17539.0,276125.0,68.8,40.0
38.03,35.18,162208.0,27566.0,315989.0,68.5,40.6
33.51,30.61,179907.0,31682.0,285994.0,68.0,40.6
19.26,17.58,193252.0,37795.0,262763.0,63.8,35.8
15.22,38.11,252374.0,56483.0,138444.0,60.0,31.6
14.68,12.51,182362.0,35148.0,270921.0,62.4,35.3
26.97,25.74,178275.0,28873.0,284708.0,65.5,35.9
21.17,19.15,198208.0,41573.0,248909.0,65.8,38.6
21.34,19.74,214575.0,50681.0,200165.0,63.5,35.2
17.86,16.6,248629.0,60877.0,155012.0,60.5,34.7
17.13,16.75,255743.0,61971.0,144515.0,61.1,34.0
50.58,58.1,266154.0,13658.0,198807.0,62.5,37.5
18.86,17.85,201354.0,44767.0,226397.0,66.1,38.3
102.07,107.76,255822.0,16102.0,226639.0,65.5,39.7
18.02,17.17,246056.0,60692.0,175497.0,62.7,34.7
133.37,132.72,160481.0,19829.0,314092.0,71.8,42.1
59.41,56.86,154630.0,25929.0,309886.0,67.9,40.3
18.54,17.01,204613.0,47262.0,229132.0,63.5,37.0
101.62,111.93,365785.0,13379.0,204719.0,52.5,27.8
84.25,85.28,167272.0,18185.0,260966.0,68.7,40.3
51.58,57.51,299726.0,15705.0,238109.0,59.3,34.5
26.2,25.62,171270.0,26749.0,280182.0,63.8,34.5
28.39,26.65,179670.0,29905.0,295874.0,66.3,36.5
29.7,28.68,177920.0,28288.0,291346.0,66.9,37.0
19.03,17.39,215791.0,51284.0,195059.0,63.8,35.5
28.11,25.86,175568.0,30704.0,314748.0,67.9,39.3
87.9,102.62,199368.0,12872.0,270061.0,66.8,39.1
14.52,13.73,212585.0,51789.0,211966.0,63.6,35.6
30.34,29.61,174020.0,29981.0,311950.0,68.2,39.4
22.39,21.16,215019.0,51094.0,185143.0,63.7,35.5
18.2,16.35,227179.0,54725.0,200067.0,60.5,35.1
60.44,62.05,158697.0,23137.0,321781.0,68.7,41.5
16.38,15.31,246189.0,61862.0,162132.0,62.9,35.0
23.71,22.76,194268.0,42104.0,220314.0,65.6,37.4
49.33,51.59,284146.0,16300.0,253114.0,56.2,34.1
95.77,102.92,218355.0,14567.0,231930.0,66.6,39.0
18.33,17.18,202464.0,39987.0,237228.0,64.9,36.1
13.77,12.41,248704.0,62315.0,172080.0,62.1,34.1
96.26,113.83,167673.0,16603.0,277050.0,68.5,40.7
